person_id,source,volume
i-122QwSSpyGJQiTJjmrUJCM,http://www.wikidata.org/entity/Q111443541,
i-12Uee2egshc6uyv5Q4pcUM,http://www.wikidata.org/entity/Q110346241,
i-12Uee2egshc6uyv5Q4pcUM,http://www.wikidata.org/entity/Q379406,
i-12Uee2egshc6uyv5Q4pcUM,http://www.wikidata.org/entity/Q50287327,
i-13PgYkuYe6x5jwCDMxQFhz,http://www.wikidata.org/entity/Q110346241,
i-13PgYkuYe6x5jwCDMxQFhz,http://www.wikidata.org/entity/Q50395049,
i-13QQP8owbbh9DWwyjxnTSS,http://www.wikidata.org/entity/Q111443541,
i-14itFAMq9exF2LvnaCtHAn,http://www.wikidata.org/entity/Q110346241,
i-14itFAMq9exF2LvnaCtHAn,http://www.wikidata.org/entity/Q379406,
i-14itFAMq9exF2LvnaCtHAn,http://www.wikidata.org/entity/Q58367116,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q110346241,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21586300,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597586,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597589,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597606,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597610,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597612,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597613,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597617,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597618,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q21597619,
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q58388315,
i-16Witbg68Ektoj84BnCehX,http://www.wikidata.org/entity/Q110346241,
i-16Witbg68Ektoj84BnCehX,http://www.wikidata.org/entity/Q48761314,
i-16Witbg68Ektoj84BnCehX,http://www.wikidata.org/entity/Q49213654,
i-16Witbg68Ektoj84BnCehX,http://www.wikidata.org/entity/Q50287327,
i-16Witbg68Ektoj84BnCehX,http://www.wikidata.org/entity/Q50287368,
i-16dpFQGNcr7HGwnHCoAdKk,http://www.wikidata.org/entity/Q110346241,
i-17q5suLEPiC6SEzqci5C4s,http://www.wikidata.org/entity/Q110346241,
i-17q5suLEPiC6SEzqci5C4s,http://www.wikidata.org/entity/Q22083543,
i-17q5suLEPiC6SEzqci5C4s,http://www.wikidata.org/entity/Q379406,
i-17wP8w7go36vS3sLZVkrL5,http://www.wikidata.org/entity/Q110346241,
i-17wP8w7go36vS3sLZVkrL5,http://www.wikidata.org/entity/Q21600495,
i-184mh7uhT7D8tGsavsHbSJ,http://www.wikidata.org/entity/Q110346241,
i-1WP7QkRyMb2CD9Uv6e3wC,http://www.wikidata.org/entity/Q110346241,
i-1XsEfF3SYqxVzdDjxQSya,http://www.wikidata.org/entity/Q110346241,
i-1XsEfF3SYqxVzdDjxQSya,http://www.wikidata.org/entity/Q48761314,
i-1gnfNeDH6dj6iVaqD8XRH,http://www.wikidata.org/entity/Q10542847,
i-1gnfNeDH6dj6iVaqD8XRH,http://www.wikidata.org/entity/Q110346241,
i-1gnfNeDH6dj6iVaqD8XRH,http://www.wikidata.org/entity/Q58366813,
i-1vkisNNG3HdqJbKySSxUp,http://www.wikidata.org/entity/Q110346241,
i-1vkisNNG3HdqJbKySSxUp,http://www.wikidata.org/entity/Q48761314,
i-1xpn4vGAnPTUV3FuyR27z,http://www.wikidata.org/entity/Q110346241,
i-1xpn4vGAnPTUV3FuyR27z,http://www.wikidata.org/entity/Q22083543,
i-1xpn4vGAnPTUV3FuyR27z,http://www.wikidata.org/entity/Q50798414,
i-21bcvvF1pf7n8H2CydJGFb,http://www.wikidata.org/entity/Q111443541,
i-21sS3832F96xjNFhsY9x2i,http://www.wikidata.org/entity/Q379406,
i-21sS3832F96xjNFhsY9x2i,http://www.wikidata.org/entity/Q678259,
i-22EGSH6WucdXDkn19Wz7Mu,http://www.wikidata.org/entity/Q110346241,
i-23K7oBZqgsShoLKvyFSg9W,http://www.wikidata.org/entity/Q110346241,
i-23K7oBZqgsShoLKvyFSg9W,http://www.wikidata.org/entity/Q58366813,
i-23dA6zcoX9MkR9z7C5GtSC,http://www.wikidata.org/entity/Q111443541,
i-23owrgiLSgQRynhwKe5Tja,http://www.wikidata.org/entity/Q111443541,
i-243rknWDEdgBEAge7sukzd,http://www.wikidata.org/entity/Q110346241,
i-243rknWDEdgBEAge7sukzd,http://www.wikidata.org/entity/Q21600495,
i-243rknWDEdgBEAge7sukzd,http://www.wikidata.org/entity/Q49213654,
i-243rknWDEdgBEAge7sukzd,http://www.wikidata.org/entity/Q50287327,
i-24FhhfcLncvvn1Ea4tJ4p7,http://www.wikidata.org/entity/Q111443541,
i-24GU6a9CVTa4mzxPwJujea,http://www.wikidata.org/entity/Q379406,
i-25CfCVSbvBbZNT4MaSfQuo,http://www.wikidata.org/entity/Q110346241,
i-25CfCVSbvBbZNT4MaSfQuo,http://www.wikidata.org/entity/Q379406,
i-25CfCVSbvBbZNT4MaSfQuo,http://www.wikidata.org/entity/Q58366813,
i-25CfCVSbvBbZNT4MaSfQuo,http://www.wikidata.org/entity/Q678259,
i-25EEgWidbVVQMzbXZMgAXZ,http://www.wikidata.org/entity/Q110346241,
i-25EEgWidbVVQMzbXZMgAXZ,http://www.wikidata.org/entity/Q379406,
i-25EEgWidbVVQMzbXZMgAXZ,http://www.wikidata.org/entity/Q58366813,
i-25EEgWidbVVQMzbXZMgAXZ,http://www.wikidata.org/entity/Q678259,
i-25WANiY9YMaqEdj4ufyeqi,http://www.wikidata.org/entity/Q110346241,
i-25WANiY9YMaqEdj4ufyeqi,http://www.wikidata.org/entity/Q22083543,
i-25WANiY9YMaqEdj4ufyeqi,http://www.wikidata.org/entity/Q379406,
i-266bJc5RtSGNFxNkBXfTw6,http://www.wikidata.org/entity/Q110346241,
i-266bJc5RtSGNFxNkBXfTw6,http://www.wikidata.org/entity/Q21600495,
i-266bJc5RtSGNFxNkBXfTw6,http://www.wikidata.org/entity/Q58366813,
i-27GnXLYmnvWWQ74zqN8XG1,http://www.wikidata.org/entity/Q110346241,
i-27GnXLYmnvWWQ74zqN8XG1,http://www.wikidata.org/entity/Q21600495,
i-27GnXLYmnvWWQ74zqN8XG1,http://www.wikidata.org/entity/Q49213654,
i-27g3f2ySACnQtgfDwBTkDs,http://www.wikidata.org/entity/Q111443541,
i-28QtNdtNvYW5KVgFHRDL4R,http://www.wikidata.org/entity/Q110346241,
i-28QtNdtNvYW5KVgFHRDL4R,http://www.wikidata.org/entity/Q21586313,
i-28QtNdtNvYW5KVgFHRDL4R,http://www.wikidata.org/entity/Q58370833,
i-29DwTeTswrc6CZ69NFKoDy,http://www.wikidata.org/entity/Q110346241,
i-29DwTeTswrc6CZ69NFKoDy,http://www.wikidata.org/entity/Q21600495,
i-2ASB6DoU1XW9sV8ZGbcxey,http://www.wikidata.org/entity/Q110346241,
i-2ASB6DoU1XW9sV8ZGbcxey,http://www.wikidata.org/entity/Q21600495,
i-2ASB6DoU1XW9sV8ZGbcxey,http://www.wikidata.org/entity/Q22341368,19
i-2ASB6DoU1XW9sV8ZGbcxey,http://www.wikidata.org/entity/Q379406,
i-2ASB6DoU1XW9sV8ZGbcxey,http://www.wikidata.org/entity/Q58366813,
i-2BYSzJNcUPXMLvmLd6pE34,http://www.wikidata.org/entity/Q111443541,
i-2BYSzJNcUPXMLvmLd6pE34,http://www.wikidata.org/entity/Q19897035,
i-2BYSzJNcUPXMLvmLd6pE34,http://www.wikidata.org/entity/Q21597636,
i-2BYSzJNcUPXMLvmLd6pE34,http://www.wikidata.org/entity/Q21597645,
i-2BYSzJNcUPXMLvmLd6pE34,http://www.wikidata.org/entity/Q21597646,
i-2BYSzJNcUPXMLvmLd6pE34,http://www.wikidata.org/entity/Q21597647,
i-2BYSzJNcUPXMLvmLd6pE34,http://www.wikidata.org/entity/Q21597650,
i-2BomLucSUhUFGdLZdLWiCx,http://www.wikidata.org/entity/Q111443541,
i-2BqYDfJGsEe55GwNK7mUNB,http://www.wikidata.org/entity/Q110346241,
i-2BqYDfJGsEe55GwNK7mUNB,http://www.wikidata.org/entity/Q379406,
i-2BqYDfJGsEe55GwNK7mUNB,http://www.wikidata.org/entity/Q58366813,
i-2CQ7wMBad8ihMEVBdBSjzx,http://www.wikidata.org/entity/Q111443541,
i-2CptAnTqxXA4LBXL7vK9gC,http://www.wikidata.org/entity/Q111443541,
i-2D69hJC4BuUkfdTDfQDfwZ,http://www.wikidata.org/entity/Q111443541,
i-2DwRqPaUX1EqrTDhVYFKdv,http://www.wikidata.org/entity/Q110346241,
i-2DwRqPaUX1EqrTDhVYFKdv,http://www.wikidata.org/entity/Q111170821,
i-2DwRqPaUX1EqrTDhVYFKdv,http://www.wikidata.org/entity/Q50287368,
i-2E2N5MpZ8PjBpuMWc4jqhz,http://www.wikidata.org/entity/Q110346241,
i-2E2N5MpZ8PjBpuMWc4jqhz,http://www.wikidata.org/entity/Q3356494,
i-2EsjZToCZr14goS1NGyN4G,http://www.wikidata.org/entity/Q110346241,
i-2FMdJQN5sEzW3N7zpocbuh,http://www.wikidata.org/entity/Q110346241,
i-2FNaYK7iohKDXNcVkZh5pS,http://www.wikidata.org/entity/Q110346241,
i-2FNaYK7iohKDXNcVkZh5pS,http://www.wikidata.org/entity/Q91254462,5
i-2FVUSVT1SC2fewMNdrmgeb,http://www.wikidata.org/entity/Q111443541,
i-2FVUSVT1SC2fewMNdrmgeb,http://www.wikidata.org/entity/Q21597650,
i-2G8XQvkqyYrG9q5CFVbCTE,http://www.wikidata.org/entity/Q110346241,
i-2G8XQvkqyYrG9q5CFVbCTE,http://www.wikidata.org/entity/Q50287368,
i-2GrQUZVdfkSwaKMdaXRCZ6,http://www.wikidata.org/entity/Q111443541,
i-2GrQUZVdfkSwaKMdaXRCZ6,http://www.wikidata.org/entity/Q21597631,
i-2GrQUZVdfkSwaKMdaXRCZ6,http://www.wikidata.org/entity/Q21597634,
i-2H8FgkqFXcNpmFeBm6LxiU,http://www.wikidata.org/entity/Q110346241,
i-2HyRdnwNjJfPPeCiQ2cg17,http://www.wikidata.org/entity/Q110346241,
