person_id,wiki_id,pages,ref,vol
i-EzhmCmNyKREE4AaqdncvAo,Q1037831,140,http://www.wikidata.org/entity/Q110346241,1
i-HSP9LioPctrDbuGfZ5P4G,Q1039038,340,http://www.wikidata.org/entity/Q110346241,4
i-4p8JokQcmoPFNWL1uSASiw,Q104836509,459,http://www.wikidata.org/entity/Q110346241,1
i-PFAPNmRqeUAaxDzNRTG1x1,Q104839950,388,http://www.wikidata.org/entity/Q110346241,1
i-KUavj3naU1jTnq3RDnaNqe,Q104841633,55,http://www.wikidata.org/entity/Q111443541,2
i-MaRHnNmw2sqAFYBugWDAH2,Q104842860,46,http://www.wikidata.org/entity/Q110346241,3
i-GFvhnYSfU7uMwMyEbzcgSz,Q104845055,69,http://www.wikidata.org/entity/Q110346241,4
i-TuUeRRRStfRtd42Mi2VQ3H,Q104845813,261,http://www.wikidata.org/entity/Q110346241,4
i-Wmqf7ntDge1sjwuTqYDRCN,Q104850932,322,http://www.wikidata.org/entity/Q110346241,4
i-GqLJiLj3ZWmFCVw4KJoTtW,Q104851791,410,http://www.wikidata.org/entity/Q110346241,4
i-ArBoKHFxXfA2rh9Sm2XzUy,Q104864916,421,http://www.wikidata.org/entity/Q110346241,4
i-3eaJwNQpWabbVs3LUTGotQ,Q104869831,370,http://www.wikidata.org/entity/Q110346241,5
i-GGQnyd4FBYAVAPfMuLn9Di,Q104874870,144,http://www.wikidata.org/entity/Q111443541,2
i-CaReJU7GckAgFwH9eRz9J,Q104889258,292,http://www.wikidata.org/entity/Q110346241,3
i-2U4y4kpuQrcdDAWFBSNkPp,Q104889673,277,http://www.wikidata.org/entity/Q110346241,4
i-8ZNJWsBMhAczaaMoTcJqRT,Q104889739,248,http://www.wikidata.org/entity/Q110346241,4
i-CiCVc1arZNK5WGUQmfSttX,Q104904121,412,http://www.wikidata.org/entity/Q110346241,4
i-Bv85PfPyP6Kza9FMou862E,Q104904307,396,http://www.wikidata.org/entity/Q110346241,4
